ALPHA MO COEFFICIENTS                            NI= 0 NR= 1 NRI= 1 NTot=     100 N=    10    10     1     1     1 IType=0
             1             2             3             4             5
      1   6.726348D-01  7.178086D-01 -2.159187D-01  0.000000D+00  0.000000D+00
      2   9.548028D-03 -1.040397D-01  5.634114D-01  0.000000D+00  0.000000D+00
      3   3.073582D-02 -4.533367D-02 -1.290734D-01  0.000000D+00  0.000000D+00
      4   0.000000D+00  0.000000D+00  0.000000D+00  4.545482D-01  2.746718D-01
      5   0.000000D+00  0.000000D+00  0.000000D+00 -2.746718D-01  4.545482D-01
      6   6.726348D-01 -7.178086D-01 -2.159187D-01  0.000000D+00  0.000000D+00
      7   9.548028D-03  1.040397D-01  5.634114D-01  0.000000D+00  0.000000D+00
      8  -3.073582D-02 -4.533367D-02  1.290734D-01  0.000000D+00  0.000000D+00
      9   0.000000D+00  0.000000D+00  0.000000D+00  4.545482D-01  2.746718D-01
     10   0.000000D+00  0.000000D+00  0.000000D+00 -2.746718D-01  4.545482D-01
             6             7             8             9            10
      1  -1.044962D-01 -2.874103D-01  0.000000D+00  0.000000D+00  7.740186D-01
      2   1.635356D+00 -1.061072D-01  0.000000D+00  0.000000D+00  1.018866D+01
      3  -1.012369D-01  1.033813D+00  0.000000D+00  0.000000D+00  3.297821D+00
      4   0.000000D+00  0.000000D+00  1.361631D+00 -5.878007D-01  0.000000D+00
      5   0.000000D+00  0.000000D+00  5.878007D-01  1.361631D+00  0.000000D+00
      6   1.044962D-01 -2.874103D-01  0.000000D+00  0.000000D+00 -7.740186D-01
      7  -1.635356D+00 -1.061072D-01  0.000000D+00  0.000000D+00 -1.018866D+01
      8  -1.012369D-01 -1.033813D+00  0.000000D+00  0.000000D+00  3.297821D+00
      9   0.000000D+00  0.000000D+00 -1.361631D+00  5.878007D-01  0.000000D+00
     10   0.000000D+00  0.000000D+00 -5.878007D-01 -1.361631D+00  0.000000D+00
